experiment,ramp_spread,label,fe_yield_lo,fe_yield_hi,be_yield_lo,be_yield_hi,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,vss,pct_vss,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,rp_total_starts,ev_total_starts,rp_outsource_fe,rp_outsource_be,ev_outsource_fe,ev_outsource_be,rp_exp_unmet,eev_exp_unmet,rp_exp_inv,eev_exp_inv,status_rp,status_eev
A_FE_only,0.0200,A_FEsp0.02,0.8650,0.8850,0.7000,0.9000,0.0200,0.2000,0.8750,0.8000,6382.1371,6288.5000,93.6371,1.4672,10.0000,2.1387,10.0000,0.2857,12.1387,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.0400,A_FEsp0.04,0.8550,0.8950,0.7000,0.9000,0.0400,0.2000,0.8750,0.8000,6381.9242,6288.5000,93.4242,1.4639,10.0000,2.2807,10.0000,0.2857,12.2807,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.0600,A_FEsp0.06,0.8450,0.9050,0.7000,0.9000,0.0600,0.2000,0.8750,0.8000,6381.7062,6288.5000,93.2062,1.4605,10.0000,2.4260,10.0000,0.2857,12.4260,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.0800,A_FEsp0.08,0.8350,0.9150,0.7000,0.9000,0.0800,0.2000,0.8750,0.8000,6381.4830,6288.5000,92.9830,1.4571,10.0000,2.5749,10.0000,0.2857,12.5749,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1000,A_FEsp0.10,0.8250,0.9250,0.7000,0.9000,0.1000,0.2000,0.8750,0.8000,6381.2543,6288.5000,92.7543,1.4535,10.0000,2.7273,10.0000,0.2857,12.7273,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1200,A_FEsp0.12,0.8150,0.9350,0.7000,0.9000,0.1200,0.2000,0.8750,0.8000,6381.0201,6288.5000,92.5201,1.4499,10.0000,2.8834,10.0000,0.2857,12.8834,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1500,A_FEsp0.15,0.8000,0.9500,0.7000,0.9000,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.1800,A_FEsp0.18,0.7850,0.9650,0.7000,0.9000,0.1800,0.2000,0.8750,0.8000,6380.2815,6286.6780,93.6036,1.4671,10.0000,3.3758,10.0000,0.2857,13.3758,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.2000,A_FEsp0.20,0.7750,0.9750,0.7000,0.9000,0.2000,0.2000,0.8750,0.8000,6380.0227,6284.5565,95.4661,1.4963,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.2500,A_FEsp0.25,0.7500,1.0000,0.7000,0.9000,0.2500,0.2000,0.8750,0.8000,6379.3452,6274.8333,104.5119,1.6383,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.3000,A_FEsp0.30,0.7250,1.0000,0.7000,0.9000,0.2750,0.2000,0.8625,0.8000,6378.6211,6268.4607,110.1604,1.7270,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.3500,A_FEsp0.35,0.7000,1.0000,0.7000,0.9000,0.3000,0.2000,0.8500,0.8000,6377.8452,6252.7462,125.0991,1.9615,10.0000,5.0000,10.0000,0.5882,15.0000,10.5882,Yes,Yes,Yes,Yes,30.0000,30.7721,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.4000,A_FEsp0.40,0.6750,1.0000,0.7000,0.9000,0.3250,0.2000,0.8375,0.8000,6377.0119,6229.5943,147.4176,2.3117,10.0000,5.5556,10.0000,0.7463,15.5556,10.7463,Yes,Yes,Yes,Yes,30.0000,32.1549,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.4500,A_FEsp0.45,0.6500,1.0000,0.7000,0.9000,0.3500,0.2000,0.8250,0.8000,6376.1145,6205.7408,170.3737,2.6721,10.0000,6.1538,10.0000,0.9091,16.1538,10.9091,Yes,Yes,Yes,Yes,30.0000,33.5795,0.0000,0.0000,Optimal,Optimal
A_FE_only,0.5000,A_FEsp0.50,0.6250,1.0000,0.7000,0.9000,0.3750,0.2000,0.8125,0.8000,6375.1452,6181.1534,193.9918,3.0429,10.0000,6.8000,10.0000,1.0769,16.8000,11.0769,Yes,Yes,Yes,Yes,30.0000,35.0481,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.0200,B_BEsp0.02,0.8000,0.9500,0.7900,0.8100,0.1500,0.0200,0.8750,0.8000,6565.2773,6445.7863,119.4911,1.8200,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.0400,B_BEsp0.04,0.8000,0.9500,0.7800,0.8200,0.1500,0.0400,0.8750,0.8000,6565.1718,6445.6807,119.4911,1.8201,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.0600,B_BEsp0.06,0.8000,0.9500,0.7700,0.8300,0.1500,0.0600,0.8750,0.8000,6564.9956,6445.5046,119.4911,1.8201,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.0800,B_BEsp0.08,0.8000,0.9500,0.7600,0.8400,0.1500,0.0800,0.8750,0.8000,6546.6772,6430.1325,116.5446,1.7802,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1000,B_BEsp0.10,0.8000,0.9500,0.7500,0.8500,0.1500,0.1000,0.8750,0.8000,6519.2096,6406.9979,112.2117,1.7212,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,18.7500,18.7500,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1200,B_BEsp0.12,0.8000,0.9500,0.7400,0.8600,0.1500,0.1200,0.8750,0.8000,6491.6211,6383.6417,107.9794,1.6634,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,21.0000,21.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1500,B_BEsp0.15,0.8000,0.9500,0.7250,0.8750,0.1500,0.1500,0.8750,0.8000,6450.0139,6348.2014,101.8125,1.5785,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.1800,B_BEsp0.18,0.8000,0.9500,0.7100,0.8900,0.1500,0.1800,0.8750,0.8000,6408.1955,6312.3277,95.8678,1.4960,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,27.7500,27.7500,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.2000,B_BEsp0.20,0.8000,0.9500,0.7000,0.9000,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.2500,B_BEsp0.25,0.8000,0.9500,0.6750,0.9250,0.1500,0.2500,0.8750,0.8000,6311.4369,6225.0056,86.4313,1.3694,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.3000,B_BEsp0.30,0.8000,0.9500,0.6500,0.9500,0.1500,0.3000,0.8750,0.8000,6241.6602,6155.2204,86.4398,1.3849,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.3500,B_BEsp0.35,0.8000,0.9500,0.6250,0.9750,0.1500,0.3500,0.8750,0.8000,6171.2981,6083.4075,87.8906,1.4242,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,46.8750,46.8750,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.4000,B_BEsp0.40,0.8000,0.9500,0.6000,1.0000,0.1500,0.4000,0.8750,0.8000,6100.3125,6010.8750,89.4375,1.4661,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,52.5000,52.5000,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.4500,B_BEsp0.45,0.8000,0.9500,0.5750,1.0000,0.1500,0.4250,0.8750,0.7875,6020.6658,5933.6991,86.9666,1.4445,10.0000,3.1250,10.0000,0.4218,13.1250,10.4218,Yes,Yes,Yes,Yes,58.1250,58.1250,0.0000,0.0000,Optimal,Optimal
B_BE_only,0.5000,B_BEsp0.50,0.8000,0.9500,0.5500,1.0000,0.1500,0.4500,0.8750,0.7750,5940.4261,5855.6157,84.8105,1.4277,10.0000,3.1250,10.0000,0.5622,13.1250,10.5622,Yes,Yes,Yes,Yes,63.7500,63.7500,0.0000,0.0000,Optimal,Optimal
C_both,0.0200,C_sp0.02,0.8650,0.8850,0.7900,0.8100,0.0200,0.0200,0.8750,0.8000,6566.7567,6445.7863,120.9705,1.8422,10.0000,2.1387,10.0000,0.2857,12.1387,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
C_both,0.0400,C_sp0.04,0.8550,0.8950,0.7800,0.8200,0.0400,0.0400,0.8750,0.8000,6566.4382,6445.6807,120.7575,1.8390,10.0000,2.2807,10.0000,0.2857,12.2807,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
C_both,0.0600,C_sp0.06,0.8450,0.9050,0.7700,0.8300,0.0600,0.0600,0.8750,0.8000,6566.0441,6445.5046,120.5395,1.8358,10.0000,2.4260,10.0000,0.2857,12.4260,10.2857,Yes,Yes,Yes,Yes,15.0000,15.0000,0.0000,0.0000,Optimal,Optimal
C_both,0.0800,C_sp0.08,0.8350,0.9150,0.7600,0.8400,0.0800,0.0800,0.8750,0.8000,6547.5024,6430.1325,117.3699,1.7926,10.0000,2.5749,10.0000,0.2857,12.5749,10.2857,Yes,Yes,Yes,Yes,16.5000,16.5000,0.0000,0.0000,Optimal,Optimal
C_both,0.1000,C_sp0.10,0.8250,0.9250,0.7500,0.8500,0.1000,0.1000,0.8750,0.8000,6519.8062,6406.9979,112.8082,1.7302,10.0000,2.7273,10.0000,0.2857,12.7273,10.2857,Yes,Yes,Yes,Yes,18.7500,18.7500,0.0000,0.0000,Optimal,Optimal
C_both,0.1200,C_sp0.12,0.8150,0.9350,0.7400,0.8600,0.1200,0.1200,0.8750,0.8000,6491.9835,6383.6417,108.3418,1.6689,10.0000,2.8834,10.0000,0.2857,12.8834,10.2857,Yes,Yes,Yes,Yes,21.0000,21.0000,0.0000,0.0000,Optimal,Optimal
C_both,0.1500,C_sp0.15,0.8000,0.9500,0.7250,0.8750,0.1500,0.1500,0.8750,0.8000,6450.0139,6348.2014,101.8125,1.5785,10.0000,3.1250,10.0000,0.2857,13.1250,10.2857,Yes,Yes,Yes,Yes,24.3750,24.3750,0.0000,0.0000,Optimal,Optimal
C_both,0.1800,C_sp0.18,0.7850,0.9650,0.7100,0.8900,0.1800,0.1800,0.8750,0.8000,6407.8193,6312.3277,95.4916,1.4902,10.0000,3.3758,10.0000,0.2857,13.3758,10.2857,Yes,Yes,Yes,Yes,27.7500,27.7500,0.0000,0.0000,Optimal,Optimal
C_both,0.2000,C_sp0.20,0.7750,0.9750,0.7000,0.9000,0.2000,0.2000,0.8750,0.8000,6380.0227,6284.5565,95.4661,1.4963,10.0000,3.5484,10.0000,0.2857,13.5484,10.2857,Yes,Yes,Yes,Yes,30.0000,30.0000,0.0000,0.0000,Optimal,Optimal
C_both,0.2500,C_sp0.25,0.7500,1.0000,0.6750,0.9250,0.2500,0.2500,0.8750,0.8000,6310.1244,6205.0681,105.0563,1.6649,10.0000,4.0000,10.0000,0.2857,14.0000,10.2857,Yes,Yes,Yes,Yes,35.6250,35.6250,0.0000,0.0000,Optimal,Optimal
C_both,0.3000,C_sp0.30,0.7250,1.0000,0.6500,0.9500,0.2750,0.3000,0.8625,0.8000,6239.6235,6127.6334,111.9901,1.7948,10.0000,4.4828,10.0000,0.4348,14.4828,10.4348,Yes,Yes,Yes,Yes,41.2500,41.2500,0.0000,0.0000,Optimal,Optimal
C_both,0.3500,C_sp0.35,0.7000,1.0000,0.6250,0.9750,0.3000,0.3500,0.8500,0.8000,6168.4856,6041.1813,127.3042,2.0638,10.0000,5.0000,10.0000,0.5882,15.0000,10.5882,Yes,Yes,Yes,Yes,46.8750,47.5643,0.0000,0.0000,Optimal,Optimal
C_both,0.4000,C_sp0.40,0.6750,1.0000,0.6000,1.0000,0.3250,0.4000,0.8375,0.8000,6096.6667,5948.4235,148.2432,2.4315,10.0000,5.5556,10.0000,0.7463,15.5556,10.7463,Yes,Yes,Yes,Yes,52.5000,54.3470,0.0000,0.0000,Optimal,Optimal
C_both,0.4500,C_sp0.45,0.6500,1.0000,0.5750,1.0000,0.3500,0.4250,0.8250,0.7875,6016.1225,5853.9842,162.1383,2.6951,10.0000,6.1538,10.0000,1.0534,16.1538,11.0534,Yes,Yes,Yes,Yes,58.1250,60.3912,0.0000,0.0000,Optimal,Optimal
C_both,0.5000,C_sp0.50,0.6250,1.0000,0.5500,1.0000,0.3750,0.4500,0.8125,0.7750,5934.9136,5758.0966,176.8171,2.9793,10.0000,6.8000,10.0000,1.3747,16.8000,11.3747,Yes,Yes,Yes,Yes,63.7500,66.4369,0.0000,0.0000,Optimal,Optimal
