experiment,ramp_spread,fe_spread,be_spread,fe_mean,be_mean,rp_obj,eev_obj,profit_gap,pct_vss,rp_exp_unmet,eev_exp_unmet,unmet_gap,rp_fill_rate,eev_fill_rate,fill_rate_gap,rp_exp_inv,eev_exp_inv,inv_gap,rp_xf_fe1,rp_xf_fe2,ev_xf_fe1,ev_xf_fe2,fe2_gap,total_starts_gap,rp_outsource_fe,ev_outsource_fe,rp_outsource_be,ev_outsource_be
A_FE_only,0.0200,0.0200,0.2000,0.8750,0.8000,6382.1371,6288.5000,93.6371,1.4672,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.1387,10.0000,0.2857,1.8530,1.8530,Yes,Yes,Yes,Yes
A_FE_only,0.0400,0.0400,0.2000,0.8750,0.8000,6381.9242,6288.5000,93.4242,1.4639,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.2807,10.0000,0.2857,1.9950,1.9950,Yes,Yes,Yes,Yes
A_FE_only,0.0600,0.0600,0.2000,0.8750,0.8000,6381.7062,6288.5000,93.2062,1.4605,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.4260,10.0000,0.2857,2.1403,2.1403,Yes,Yes,Yes,Yes
A_FE_only,0.0800,0.0800,0.2000,0.8750,0.8000,6381.4830,6288.5000,92.9830,1.4571,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.5749,10.0000,0.2857,2.2891,2.2891,Yes,Yes,Yes,Yes
A_FE_only,0.1000,0.1000,0.2000,0.8750,0.8000,6381.2543,6288.5000,92.7543,1.4535,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.7273,10.0000,0.2857,2.4416,2.4416,Yes,Yes,Yes,Yes
A_FE_only,0.1200,0.1200,0.2000,0.8750,0.8000,6381.0201,6288.5000,92.5201,1.4499,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.8834,10.0000,0.2857,2.5977,2.5977,Yes,Yes,Yes,Yes
A_FE_only,0.1500,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
A_FE_only,0.1800,0.1800,0.2000,0.8750,0.8000,6380.2815,6286.6780,93.6036,1.4671,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.3758,10.0000,0.2857,3.0901,3.0901,Yes,Yes,Yes,Yes
A_FE_only,0.2000,0.2000,0.2000,0.8750,0.8000,6380.0227,6284.5565,95.4661,1.4963,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.5484,10.0000,0.2857,3.2627,3.2627,Yes,Yes,Yes,Yes
A_FE_only,0.2500,0.2500,0.2000,0.8750,0.8000,6379.3452,6274.8333,104.5119,1.6383,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,4.0000,10.0000,0.2857,3.7143,3.7143,Yes,Yes,Yes,Yes
A_FE_only,0.3000,0.2750,0.2000,0.8625,0.8000,6378.6211,6268.4607,110.1604,1.7270,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,4.4828,10.0000,0.4348,4.0480,4.0480,Yes,Yes,Yes,Yes
A_FE_only,0.3500,0.3000,0.2000,0.8500,0.8000,6377.8452,6252.7462,125.0991,1.9615,30.0000,30.7721,0.7721,96.0000,95.8971,0.1029,0.0000,0.0000,0.0000,10.0000,5.0000,10.0000,0.5882,4.4118,4.4118,Yes,Yes,Yes,Yes
A_FE_only,0.4000,0.3250,0.2000,0.8375,0.8000,6377.0119,6229.5943,147.4176,2.3117,30.0000,32.1549,2.1549,96.0000,95.7127,0.2873,0.0000,0.0000,0.0000,10.0000,5.5556,10.0000,0.7463,4.8093,4.8093,Yes,Yes,Yes,Yes
A_FE_only,0.4500,0.3500,0.2000,0.8250,0.8000,6376.1145,6205.7408,170.3737,2.6721,30.0000,33.5795,3.5795,96.0000,95.5227,0.4773,0.0000,0.0000,0.0000,10.0000,6.1538,10.0000,0.9091,5.2448,5.2448,Yes,Yes,Yes,Yes
A_FE_only,0.5000,0.3750,0.2000,0.8125,0.8000,6375.1452,6181.1534,193.9918,3.0429,30.0000,35.0481,5.0481,96.0000,95.3269,0.6731,0.0000,0.0000,0.0000,10.0000,6.8000,10.0000,1.0769,5.7231,5.7231,Yes,Yes,Yes,Yes
B_BE_only,0.0200,0.1500,0.0200,0.8750,0.8000,6565.2773,6445.7863,119.4911,1.8200,15.0000,15.0000,0.0000,98.0000,98.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.0400,0.1500,0.0400,0.8750,0.8000,6565.1718,6445.6807,119.4911,1.8201,15.0000,15.0000,0.0000,98.0000,98.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.0600,0.1500,0.0600,0.8750,0.8000,6564.9956,6445.5046,119.4911,1.8201,15.0000,15.0000,0.0000,98.0000,98.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.0800,0.1500,0.0800,0.8750,0.8000,6546.6772,6430.1325,116.5446,1.7802,16.5000,16.5000,0.0000,97.8000,97.8000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.1000,0.1500,0.1000,0.8750,0.8000,6519.2096,6406.9979,112.2117,1.7212,18.7500,18.7500,0.0000,97.5000,97.5000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.1200,0.1500,0.1200,0.8750,0.8000,6491.6211,6383.6417,107.9794,1.6634,21.0000,21.0000,0.0000,97.2000,97.2000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.1500,0.1500,0.1500,0.8750,0.8000,6450.0139,6348.2014,101.8125,1.5785,24.3750,24.3750,0.0000,96.7500,96.7500,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.1800,0.1500,0.1800,0.8750,0.8000,6408.1955,6312.3277,95.8678,1.4960,27.7500,27.7500,0.0000,96.3000,96.3000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.2000,0.1500,0.2000,0.8750,0.8000,6380.6577,6288.5000,92.1577,1.4443,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.2500,0.1500,0.2500,0.8750,0.8000,6311.4369,6225.0056,86.4313,1.3694,35.6250,35.6250,0.0000,95.2500,95.2500,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.3000,0.1500,0.3000,0.8750,0.8000,6241.6602,6155.2204,86.4398,1.3849,41.2500,41.2500,0.0000,94.5000,94.5000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.3500,0.1500,0.3500,0.8750,0.8000,6171.2981,6083.4075,87.8906,1.4242,46.8750,46.8750,0.0000,93.7500,93.7500,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.4000,0.1500,0.4000,0.8750,0.8000,6100.3125,6010.8750,89.4375,1.4661,52.5000,52.5000,0.0000,93.0000,93.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
B_BE_only,0.4500,0.1500,0.4250,0.8750,0.7875,6020.6658,5933.6991,86.9666,1.4445,58.1250,58.1250,0.0000,92.2500,92.2500,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.4218,2.7032,2.7032,Yes,Yes,Yes,Yes
B_BE_only,0.5000,0.1500,0.4500,0.8750,0.7750,5940.4261,5855.6157,84.8105,1.4277,63.7500,63.7500,0.0000,91.5000,91.5000,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.5622,2.5628,2.5628,Yes,Yes,Yes,Yes
C_both,0.0200,0.0200,0.0200,0.8750,0.8000,6566.7567,6445.7863,120.9705,1.8422,15.0000,15.0000,0.0000,98.0000,98.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.1387,10.0000,0.2857,1.8530,1.8530,Yes,Yes,Yes,Yes
C_both,0.0400,0.0400,0.0400,0.8750,0.8000,6566.4382,6445.6807,120.7575,1.8390,15.0000,15.0000,0.0000,98.0000,98.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.2807,10.0000,0.2857,1.9950,1.9950,Yes,Yes,Yes,Yes
C_both,0.0600,0.0600,0.0600,0.8750,0.8000,6566.0441,6445.5046,120.5395,1.8358,15.0000,15.0000,0.0000,98.0000,98.0000,0.0000,0.0000,0.0000,0.0000,10.0000,2.4260,10.0000,0.2857,2.1403,2.1403,Yes,Yes,Yes,Yes
C_both,0.0800,0.0800,0.0800,0.8750,0.8000,6547.5024,6430.1325,117.3699,1.7926,16.5000,16.5000,0.0000,97.8000,97.8000,0.0000,0.0000,0.0000,0.0000,10.0000,2.5749,10.0000,0.2857,2.2891,2.2891,Yes,Yes,Yes,Yes
C_both,0.1000,0.1000,0.1000,0.8750,0.8000,6519.8062,6406.9979,112.8082,1.7302,18.7500,18.7500,0.0000,97.5000,97.5000,0.0000,0.0000,0.0000,0.0000,10.0000,2.7273,10.0000,0.2857,2.4416,2.4416,Yes,Yes,Yes,Yes
C_both,0.1200,0.1200,0.1200,0.8750,0.8000,6491.9835,6383.6417,108.3418,1.6689,21.0000,21.0000,0.0000,97.2000,97.2000,0.0000,0.0000,0.0000,0.0000,10.0000,2.8834,10.0000,0.2857,2.5977,2.5977,Yes,Yes,Yes,Yes
C_both,0.1500,0.1500,0.1500,0.8750,0.8000,6450.0139,6348.2014,101.8125,1.5785,24.3750,24.3750,0.0000,96.7500,96.7500,0.0000,0.0000,0.0000,0.0000,10.0000,3.1250,10.0000,0.2857,2.8393,2.8393,Yes,Yes,Yes,Yes
C_both,0.1800,0.1800,0.1800,0.8750,0.8000,6407.8193,6312.3277,95.4916,1.4902,27.7500,27.7500,0.0000,96.3000,96.3000,0.0000,0.0000,0.0000,0.0000,10.0000,3.3758,10.0000,0.2857,3.0901,3.0901,Yes,Yes,Yes,Yes
C_both,0.2000,0.2000,0.2000,0.8750,0.8000,6380.0227,6284.5565,95.4661,1.4963,30.0000,30.0000,0.0000,96.0000,96.0000,0.0000,0.0000,0.0000,0.0000,10.0000,3.5484,10.0000,0.2857,3.2627,3.2627,Yes,Yes,Yes,Yes
C_both,0.2500,0.2500,0.2500,0.8750,0.8000,6310.1244,6205.0681,105.0563,1.6649,35.6250,35.6250,0.0000,95.2500,95.2500,0.0000,0.0000,0.0000,0.0000,10.0000,4.0000,10.0000,0.2857,3.7143,3.7143,Yes,Yes,Yes,Yes
C_both,0.3000,0.2750,0.3000,0.8625,0.8000,6239.6235,6127.6334,111.9901,1.7948,41.2500,41.2500,0.0000,94.5000,94.5000,0.0000,0.0000,0.0000,0.0000,10.0000,4.4828,10.0000,0.4348,4.0480,4.0480,Yes,Yes,Yes,Yes
C_both,0.3500,0.3000,0.3500,0.8500,0.8000,6168.4856,6041.1813,127.3042,2.0638,46.8750,47.5643,0.6893,93.7500,93.6581,0.0919,0.0000,0.0000,0.0000,10.0000,5.0000,10.0000,0.5882,4.4118,4.4118,Yes,Yes,Yes,Yes
C_both,0.4000,0.3250,0.4000,0.8375,0.8000,6096.6667,5948.4235,148.2432,2.4315,52.5000,54.3470,1.8470,93.0000,92.7537,0.2463,0.0000,0.0000,0.0000,10.0000,5.5556,10.0000,0.7463,4.8093,4.8093,Yes,Yes,Yes,Yes
C_both,0.4500,0.3500,0.4250,0.8250,0.7875,6016.1225,5853.9842,162.1383,2.6951,58.1250,60.3912,2.2662,92.2500,91.9478,0.3022,0.0000,0.0000,0.0000,10.0000,6.1538,10.0000,1.0534,5.1005,5.1005,Yes,Yes,Yes,Yes
C_both,0.5000,0.3750,0.4500,0.8125,0.7750,5934.9136,5758.0966,176.8171,2.9793,63.7500,66.4369,2.6869,91.5000,91.1417,0.3583,0.0000,0.0000,0.0000,10.0000,6.8000,10.0000,1.3747,5.4253,5.4253,Yes,Yes,Yes,Yes
